time price
1512833503139 14595.49
1512833503267 13229.09
1512833503331 13229.09
1512833503413 14601.37
1512833503445 13229.09
1512833503580 14766.03
1512833503643 14628.98
1512833503695 14892.29
1512833503956 14551
1512833503957 14551
1512833504292 14858.5
1512833504514 14628.94
1512833504684 14628.91
1512833504684 14595.49
1512833504685 14849.45
1512833505280 13229.1
1512833505291 13229.1
1512833505439 14595.49
1512833505693 14639.49
1512833505694 14628.93
1512833505695 14904.74
1512833505780 14903.44
1512833505864 14639.48
1512833505864 14628.9
1512833505916 15600
1512833505917 14551
1512833505969 14551
1512833506075 14628.95
1512833506076 14628.93
1512833506118 14628.98
1512833506477 14595.49
1512833506815 14628.94
1512833506817 14903.44
1512833506928 14902.64
1512833507184 15071.99
1512833507290 14628.97
1512833507332 15076.42
1512833507660 14550
1512833507709 14550
1512833507794 14550
1512833507878 14550
1512833507973 14550
1512833507974 14823.04
1512833507994 14975.35
1512833508058 14550
1512833508282 14552
1512833508483 14824.15
1512833508557 14629.93
1512833508631 15062.56
1512833508695 14772.82
1512833508750 14773.93
1512833508834 14600
1512833508844 14628.9
1512833508969 14552
1512833509691 14628.99
1512833509785 14540
1512833509828 14540
1512833509952 14550.35
1512833510046 14550
1512833510151 14628.9
1512833510213 14507
1512833510245 14507
1512833510818 13218.18
1512833510820 13218.18
1512833510904 14628.99
1512833511018 14628.92
1512833511060 14639.48
1512833511102 14639.52
1512833511155 14639.47
1512833511248 14849.45
1512833511280 14636.99
1512833511635 14838.37
1512833511718 14604.99
1512833512044 14745.49
1512833512106 14745.48
1512833512201 14902.64
1512833512202 14507
1512833512242 14507
1512833512294 14628.94
1512833512305 14628.97
1512833512336 14628.99
1512833512430 14911.74
1512833512777 14628.91
1512833512851 14628.88
1512833513266 14628.9
1512833513278 14911.74
1512833513493 14628.91
1512833513504 14916.64
1512833513610 14595.49
1512833513782 15076.42
1512833513845 13227.27
1512833513877 17000
1512833513983 13227.27
1512833514078 14594
1512833514110 15064.99
1512833514207 14550.35
1512833514311 14595.49
1512833514312 14628.98
1512833514428 14507
1512833514470 14507
1512833515118 14838.37
1512833515195 14628.93
1512833515364 14825.3
1512833515375 14628.91
1512833515528 14595.49
1512833515549 14628.86
1512833515771 14628.96
1512833515880 14550
1512833515901 14605
1512833515923 14550
1512833516240 14507
1512833516261 14507
1512833516399 14555.6
1512833516473 14639.47
1512833516653 14639.46
1512833518322 14550.35
1512833518438 14507
1512833518448 14595
1512833518492 14507
1512833518544 14628.98
1512833518554 14628.93
1512833518565 14628.96
1512833518798 14825.3
1512833519103 14832.84
1512833519180 14628.92
1512833519518 14741.87
1512833519790 14741.87
1512833520689 15064.99
1512833520954 15093.99
1512833520955 14916.64
1512833520964 14628.87
1512833521049 14604.99
1512833521104 14904.74
1512833521274 14505
1512833521369 14505
1512833521370 14628.88
1512833521514 14628.84
1512833521546 14741.5
1512833521629 14628.95
1512833521871 14866.71
1512833521913 14639.46
1512833522082 14639.45
1512833522349 14609.99
1512833522592 14741.5
1512833523103 14628.86
1512833523104 14866.95
1512833523124 14628.83
1512833523303 14505
1512833523335 14505
1512833523451 14745.48
1512833523623 14741.49
1512833524026 13227.27
1512833524142 13227.27
1512833524227 14628.92
1512833524417 14636.99
1512833524427 14628.85
1512833524639 14636.98
1512833524745 14628.92
1512833524771 14628.87
1512833524772 14628.95
1512833525560 14505
1512833525561 14505
1512833525766 14550.35
1512833526277 14745.51
1512833526308 14741.49
1512833526383 14550.34
1512833526785 14555.6
1512833527060 14550.34
1512833527155 14550
1512833527198 14550
1512833527569 14639.45
1512833527571 14639.44
1512833527571 14505
1512833527572 14628.91
1512833527574 14505
1512833527981 15093.99
1512833528046 14628.83
1512833528301 15049.99
1512833528449 14550.34
1512833528454 14550.34
1512833528607 14628.84
1512833528608 14628.81
1512833528631 14628.86
1512833528895 14559.24
1512833529544 14628.83
1512833529680 14550.35
1512833529682 14628.8
1512833530612 14505
1512833530772 14505
1512833531057 14628.91
1512833531058 14628.83
1512833531059 14628.86
1512833531215 14550.35
1512833532190 14628.82
1512833532424 14550.35
1512833532763 14595
1512833533356 14628.8
1512833533778 14628.81
1512833533779 14628.78
1512833533906 14639.44
1512833534088 14550.35
1512833534195 14628.84
1512833534227 14550.34
1512833534266 14639.43
1512833534295 14559.24
1512833534737 15049.99
1512833535106 15076.42
1512833535107 14628.8
1512833535154 14628.77
1512833535906 14766.03
1512833535955 14550.34
1512833536011 14904.74
1512833536131 14916.64
1512833536228 14745.51
1512833536301 14893.08
1512833536354 14745.5
1512833536418 14556.8
1512833537234 14628.82
1512833537255 14628.8
1512833537265 14628.84
1512833537371 14628.85
1512833537467 14628.79
1512833537540 14636.98
1512833537661 14636.97
1512833538081 14628.79
1512833538179 14550
1512833538232 14550
1512833538678 14628.78
1512833538679 14628.75
1512833538814 14550.35
1512833539027 14550.35
1512833539240 14628.81
1512833539325 14628.77
1512833539367 14832.84
1512833539368 14639.43
1512833539505 14628.74
1512833539536 14639.42
1512833539674 14837.36
1512833539897 14550
1512833539899 14550
1512833539960 14628.83
1512833541276 13227.27
1512833541278 13227.27
1512833541850 14792.12
1512833542361 14918.46
1512833542672 14555
1512833543014 14550.35
1512833543479 14628.79
1512833543480 14628.81
1512833543489 14628.83
1512833543701 14550.34
1512833543705 14550.34
1512833543965 13227.27
1512833544008 14556.8
1512833544008 13227.27
1512833544215 14550
1512833544247 14550
1512833544415 14550.4
1512833544715 14628.8
1512833545634 14550
1512833545783 14639.42
1512833545793 14540
1512833545977 14628.74
1512833546094 14639.41
1512833546296 14745.5
1512833546317 14837.36
1512833546317 13227.27
1512833546337 14628.75
1512833546421 13227.27
1512833546569 14628.78
1512833546697 14628.72
1512833546718 14745.49
1512833546781 14844.41
1512833546782 14554.99
1512833547067 14916.64
1512833547089 14561.11
1512833547120 14879.96
1512833547845 14628.74
1512833547992 14628.71
1512833548563 15076.42
1512833548660 14549.63
1512833548701 14609.96
1512833548764 15093.99
1512833549014 14549.63
1512833549112 14879.96
1512833549239 14874.16
1512833549738 14628.8
1512833549740 14628.74
1512833549740 14628.78
1512833550768 14628.79
1512833550831 14609.98
1512833550852 14636.97
1512833550914 14628.73
1512833551042 14628.73
1512833551073 14639.41
1512833551074 14874.16
1512833551188 14639.4
1512833551219 14876.36
1512833551261 14609.99
1512833551618 14772.82
1512833551910 14773.93
1512833552101 14609.99
1512833552163 14876.36
